Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Suspected
Anhui,Mainland China,1/21/2020 10pm,10,,,3
Beijing,Mainland China,1/21/2020 10pm,5,,,
Chongqing,Mainland China,1/21/2020 10pm,17,,,
Guangdong,Mainland China,1/21/2020 10pm,,,,4
Guangxi,Mainland China,1/21/2020 10pm,,,,1
Guizhou,Mainland China,1/21/2020 10pm,,,,1
Hainan,Mainland China,1/21/2020 10pm,,,,1
Heilongjiang,Mainland China,1/21/2020 10pm,1,,,1
Henan,Mainland China,1/21/2020 10pm,,,,
Hong Kong,Hong Kong,1/21/2020 10pm,270,,,117
Hubei,Mainland China,1/21/2020 10pm,1,,,11
Hunan,Mainland China,1/21/2020 10pm,2,6,25,
Jiangxi,Mainland China,1/21/2020 10pm,,,,
Jilin,Mainland China,1/21/2020 10pm,,,,1
Liaoning,Mainland China,1/21/2020 10pm,,,,1
Ningxia,Mainland China,1/21/2020 10pm,1,,,1
Shandong,Mainland China,1/21/2020 10pm,9,,,
Shanghai,Mainland China,1/21/2020 10pm,2,,,10
Sichuan,Mainland China,1/21/2020 10pm,1,,,1
Taiwan,Taiwan,1/21/2020 10pm,2,,,
Tianjin,Mainland China,1/21/2020 10pm,1,,,
Yunnan,Mainland China,1/21/2020 10pm,5,,,
Zhejiang,Mainland China,1/21/2020 10pm,1,,,16
Washington,Japan,1/21/2020 10pm,1,,,
,US,1/21/2020 10pm,1,,,
,South Korea,1/21/2020 10pm,2,,,
,Thailand,1/21/2020 10pm,,,,
